"Screen_Tech","Star Rating Index","screensize (inch)"
"LCD (LED)",4.048945386,54.61062992125985
"LCD (LED)",4.050316323,23.807086614173226
"LCD (LED)",4.050393945,60.10354330708662
"LCD (LED)",4.051057551,50.08858267716535
"LCD (LED)",4.051470647,85.59881889763778
"LCD (LED)",4.052634931,74.58346456692914
"LCD (LED)",4.053423001,54.63897637795275
"LCD (LED)",4.063138327,23.53307086614173
"LCD (LED)",4.06319449,74.52992125984252
"LCD (LED)",4.063289012,57.50354330708661
"LCD (LED)",4.064055082,54.63897637795275
"LCD (LED)",4.0649291,64.52637795275591
"LCD (LED)",4.066544909,23.548818897637794
"LCD (LED)",4.076463413,64.4996062992126
"LCD (LED)",4.076493871,21.53031496062992
"LCD (LED)",4.077891846,85.52755905511812
"LCD (LED)",4.080571071,64.52637795275591
"LCD (LED)",4.080617067,64.5259842519685
"LCD (LED)",4.085395218,54.63897637795275
"LCD (LED)",4.088824024,74.54330708661418
"LCD (LED)",4.091803172,74.51732283464567
"LCD (LED)",4.092320104,42.5
"LCD (LED)",4.095235714,49.4988188976378
"LCD (LED)",4.095449802,49.5003937007874
"LCD (LED)",4.104136875,64.52637795275591
"LCD (LED)",4.104182871,64.5259842519685
"LCD (LED)",4.106200169,49.49803149606299
"LCD (LED)",4.106842474,74.54251968503937
"LCD (LED)",4.112224591,84.56023622047243
"LCD (LED)",4.112366497,82.51377952755905
"LCD (LED)",4.116919247,76.84133858267717
"LCD (LED)",4.117597178,54.63897637795275
"LCD (LED)",4.118959927,31.499212598425196
"LCD (LED)",4.11909635,49.49803149606299
"LCD (LED)",4.119545499,69.5220472440945
"LCD (LED)",4.127319622,54.64488188976378
"LCD (LED)",4.128382791,54.63897637795275
"LCD (LED)",4.130871593,74.54251968503937
"LCD (LED)",4.131093756,84.56023622047243
"LCD (LED)",4.133924473,49.4988188976378
"LCD (LED)",4.134136225,21.992125984251967
"LCD (LED)",4.135751963,64.52637795275591
"LCD (LED)",4.138131256,54.64488188976378
"LCD (LED)",4.145297952,84.56023622047243
"LCD (LED)",4.148969037,54.64488188976378
"LCD (LED)",4.154456594,49.50236220472441
"LCD (LED)",4.156418645,54.61062992125985
"LCD (LED)",4.159610511,64.52637795275591
"LCD (LED)",4.16089626,54.63897637795275
"LCD (LED)",4.164026396,42.514566929133856
"LCD (LED)",4.164307186,84.56023622047243
"LCD (LED)",4.16660088,114.48188976377952
"LCD (LED)",4.16666147,85.6011811023622
"LCD (LED)",4.16907212,84.56023622047243
"LCD (LED)",4.169942591,54.62047244094488
"LCD (LED)",4.171330517,74.52992125984252
"LCD (LED)",4.171786715,54.63897637795275
"LCD (LED)",4.172950149,49.4988188976378
"LCD (LED)",4.173320678,49.50236220472441
"LCD (LED)",4.173950666,64.52007874015747
"LCD (LED)",4.175633067,64.5259842519685
"LCD (LED)",4.177359091,42.5
"LCD (LED)",4.186034596,49.4988188976378
"LCD (LED)",4.189669497,97.48188976377953
"LCD (LED)",4.191620791,64.52637795275591
"LCD (LED)",4.191691628,97.51614173228346
