"Screen_Tech","Avg_mode_power"
"LCD (LED)",91.788
"LCD (LED)",91.8
"LCD (LED)",91.87
"LCD (LED)",92
"LCD (LED)",92.2
"LCD (LED)",92.3
"LCD (LED)",92.33
"LCD (LED)",92.39
"LCD (LED)",92.66
"LCD (LED)",92.78
"LCD (LED)",92.8
"LCD (LED)",92.9
"LCD (LED)",93
"LCD (LED)",93.1
"LCD (LED)",93.12
"LCD (LED)",93.2
"LCD (LED)",93.25
"LCD (LED)",93.43
"LCD (LED)",93.528
"LCD (LED)",93.6
"LCD (LED)",93.65
"LCD (LED)",93.8
"LCD (LED)",93.82
"LCD (LED)",94
"LCD (LED)",94.01
"LCD (LED)",94.1
"LCD (LED)",94.14
"LCD (LED)",94.2
"LCD (LED)",94.22
"LCD (LED)",94.36
"LCD (LED)",94.37
"LCD (LED)",94.374
"LCD (LED)",94.43
"LCD (LED)",94.45
"LCD (LED)",95
"LCD (LED)",95.06
"LCD (LED)",95.2
"LCD (LED)",95.274
"LCD (LED)",95.92
"LCD (LED)",96
"LCD (LED)",96.1
"LCD (LED)",96.3
"LCD (LED)",96.66
"LCD (LED)",96.71
"LCD (LED)",96.9
"LCD (LED)",97
"LCD (LED)",97.1
"LCD (LED)",97.2
"LCD (LED)",97.68
"LCD (LED)",97.7
"LCD (LED)",97.8
"LCD (LED)",97.96
"LCD (LED)",98
"LCD (LED)",98.268
"LCD (LED)",98.27
"LCD (LED)",98.45
"LCD (LED)",98.826
"LCD (LED)",98.85
"LCD (LED)",98.86
"LCD (LED)",99
"LCD (LED)",99.1
"LCD (LED)",99.18
"LCD (LED)",99.2
"LCD (LED)",99.42
"LCD (LED)",99.7
"LCD (LED)",99.95
"LCD (LED)",100
"LCD (LED)",100.2
"LCD (LED)",100.24
"LCD (LED)",100.3
"LCD (LED)",100.64
"LCD (LED)",100.68
"LCD (LED)",100.78
"LCD (LED)",101
"LCD (LED)",101.1
"LCD (LED)",101.23
"LCD (LED)",101.3
"LCD (LED)",101.4
"LCD (LED)",101.54
"LCD (LED)",102
"LCD (LED)",102.1
"LCD (LED)",102.2
"LCD (LED)",102.3
"LCD (LED)",102.546
"LCD (LED)",102.6
"LCD (LED)",102.9
"LCD (LED)",103
"LCD (LED)",103.3
"LCD (LED)",103.48
"LCD (LED)",103.5
"LCD (LED)",103.61
"LCD (LED)",103.99
"LCD (LED)",104
"LCD (LED)",104.2
"LCD (LED)",104.46
"LCD (LED)",104.7
"LCD (LED)",104.78
"LCD (LED)",104.8
"LCD (LED)",104.9
"LCD (LED)",104.99
"LCD (LED)",105
"LCD (LED)",105.156
"LCD (LED)",105.39
"LCD (LED)",105.43
"LCD (LED)",105.46
"LCD (LED)",105.58
"LCD (LED)",105.7
"LCD (LED)",105.75
"LCD (LED)",105.8
"LCD (LED)",105.84
"LCD (LED)",105.9
"LCD (LED)",105.96
"LCD (LED)",106
"LCD (LED)",106.02
"LCD (LED)",106.2
"LCD (LED)",106.46
"LCD (LED)",106.5
"LCD (LED)",106.6
"LCD (LED)",106.68
"LCD (LED)",106.97
"LCD (LED)",107
"LCD (LED)",107.18
"LCD (LED)",107.27
"LCD (LED)",107.4
"LCD (LED)",107.54
"LCD (LED)",107.58
"LCD (LED)",107.6
"LCD (LED)",107.8
"LCD (LED)",108
"LCD (LED)",108.02
"LCD (LED)",108.132
"LCD (LED)",108.29
"LCD (LED)",108.294
"LCD (LED)",108.4
"LCD (LED)",108.5
"LCD (LED)",108.56
"LCD (LED)",109
"LCD (LED)",109.038
"LCD (LED)",109.1
"LCD (LED)",109.19
"LCD (LED)",109.4
"LCD (LED)",109.48
"LCD (LED)",109.65
"LCD (LED)",109.77
"LCD (LED)",109.86
"LCD (LED)",110
"LCD (LED)",110.08
"LCD (LED)",110.31
"LCD (LED)",110.448
"LCD (LED)",110.54
"LCD (LED)",111
"LCD (LED)",111.08
"LCD (LED)",111.2
"LCD (LED)",111.6
"LCD (LED)",111.7
"LCD (LED)",111.72
"LCD (LED)",111.8
"LCD (LED)",111.9
"LCD (LED)",111.93
"LCD (LED)",112
"LCD (LED)",112.33
"LCD (LED)",112.38
"LCD (LED)",112.6
"LCD (LED)",113
"LCD (LED)",113.6
"LCD (LED)",113.8
"LCD (LED)",113.9
"LCD (LED)",114
"LCD (LED)",114.354
"LCD (LED)",114.36
"LCD (LED)",114.6
"LCD (LED)",114.75
"LCD (LED)",115
"LCD (LED)",115.4
"LCD (LED)",115.41
"LCD (LED)",115.68
"LCD (LED)",115.82
"LCD (LED)",115.84
"LCD (LED)",115.94
"LCD (LED)",116
"LCD (LED)",116.25
"LCD (LED)",116.74
"LCD (LED)",117
"LCD (LED)",117.04
"LCD (LED)",117.13
"LCD (LED)",117.3
"LCD (LED)",117.5
"LCD (LED)",117.61
"LCD (LED)",118
"LCD (LED)",118.27
"LCD (LED)",118.6
"LCD (LED)",118.7
"LCD (LED)",119
"LCD (LED)",119.01
"LCD (LED)",119.3
"LCD (LED)",119.346
"LCD (LED)",119.45
"LCD (LED)",119.8
"LCD (LED)",120
"LCD (LED)",120.1
"LCD (LED)",120.56
"LCD (LED)",120.81
"LCD (LED)",121
"LCD (LED)",121.59
"LCD (LED)",121.6
"LCD (LED)",122
"LCD (LED)",122.25
"LCD (LED)",122.64
"LCD (LED)",122.8
"LCD (LED)",122.94
"LCD (LED)",123
"LCD (LED)",123.02
"LCD (LED)",123.6
"LCD (LED)",123.8
"LCD (LED)",123.94
"LCD (LED)",124
"LCD (LED)",125
"LCD (LED)",125.64
"LCD (LED)",125.66
"LCD (LED)",126
"LCD (LED)",126.2
"LCD (LED)",126.7
"LCD (LED)",127
"LCD (LED)",127.12
"LCD (LED)",127.69
"LCD (LED)",127.7
"LCD (LED)",127.8
