"Avg_mode_power","screensize (inch)"
108.132,64.5259842519685
108.2,64.5259842519685
108.29,69.50275590551182
108.294,69.50196850393701
108.294,69.50275590551182
108.3,64.5259842519685
108.4,54.63897637795275
108.5,64.4996062992126
108.56,64.48464566929134
109,54.63897637795275
109,64.5259842519685
109,64.52637795275591
109.038,69.50984251968504
109.1,64.5259842519685
109.19,54.63897637795275
109.4,74.52992125984252
109.48,64.5259842519685
109.65,64.5259842519685
109.77,74.53582677165355
109.86,74.51771653543307
110,54.63897637795275
110,64.4996062992126
110,64.52637795275591
110.08,64.51889763779526
110.12,54.64488188976378
110.15,69.50078740157481
110.3,60.10354330708662
110.31,64.5259842519685
110.35,69.51299212598424
110.448,64.52637795275591
110.54,64.4996062992126
110.72,49.49803149606299
110.95,54.63897637795275
111,54.61062992125985
111,54.63897637795275
111.08,69.51299212598424
111.2,74.52992125984252
111.39,64.5259842519685
111.438,64.5259842519685
111.6,64.52637795275591
111.7,54.63897637795275
111.72,74.51732283464567
111.8,54.64488188976378
111.9,64.53385826771654
111.93,54.63897637795275
112,49.4988188976378
112,54.61062992125985
112,54.63897637795275
112,64.52637795275591
112,74.54251968503937
112.086,57.50708661417323
112.33,70.01102362204725
112.38,54.64488188976378
112.52,49.49803149606299
112.6,49.49803149606299
112.7,64.52637795275591
113,54.61062992125985
113,54.63897637795275
113,54.64488188976378
113,64.5259842519685
113,64.52637795275591
113.136,64.51456692913385
113.2,64.5259842519685
113.4,64.66496062992125
113.6,74.52992125984252
113.8,54.61062992125985
113.9,64.52637795275591
114,54.63897637795275
114,64.51062992125983
114,64.52637795275591
114.354,64.5259842519685
114.36,74.51732283464567
114.6,84.56023622047243
114.75,54.63897637795275
114.8,64.4996062992126
114.8,64.52637795275591
115,54.63897637795275
115,64.4996062992126
115,64.52637795275591
115,65.20984251968504
115.1,54.63897637795275
115.4,74.52992125984252
115.41,57.531496062992126
115.68,64.5259842519685
115.82,54.63897637795275
115.84,54.63897637795275
115.9,54.63897637795275
115.94,64.5259842519685
116,54.63897637795275
116,64.4996062992126
116,64.51889763779526
116,64.52637795275591
116.25,64.52637795275591
116.74,69.51299212598424
117,60.0751968503937
117,64.4996062992126
117,64.52637795275591
117.04,74.54330708661418
117.13,64.5259842519685
117.3,54.63897637795275
117.3,64.5259842519685
117.5,74.54330708661418
117.61,74.54488188976377
117.9,64.51889763779526
118,64.5259842519685
118,64.52637795275591
118,74.54251968503937
118.27,74.52992125984252
118.6,64.52637795275591
118.7,54.64488188976378
119,54.63897637795275
119,54.64488188976378
119,64.52637795275591
119.01,64.5259842519685
119.3,64.52637795275591
119.346,85.46692913385827
119.45,64.5259842519685
119.8,74.52992125984252
119.9244,74.54330708661418
120,54.63897637795275
120,64.52637795275591
120,65.10472440944882
120,65.20984251968504
120.1,64.5259842519685
120.56,74.54330708661418
120.81,64.51456692913385
121,54.64488188976378
121,64.50905511811024
121,64.52637795275591
121.1,64.51889763779526
121.59,74.54330708661418
121.6,64.52637795275591
122,54.64488188976378
122,54.65275590551182
122,57.49566929133858
122,64.5259842519685
122,64.52637795275591
122,74.52992125984252
122.1,64.51889763779526
122.25,74.54330708661418
122.5,64.51889763779526
122.59,64.5259842519685
122.64,64.5259842519685
122.8,74.54251968503937
122.94,74.54330708661418
123,64.52637795275591
123.02,74.54330708661418
123.6,69.5035433070866
123.8,54.61062992125985
123.8,74.52992125984252
123.94,69.51299212598424
124,64.50905511811024
124,64.52637795275591
124,74.54251968503937
124.536,74.54330708661418
124.968,64.2251968503937
125,64.4996062992126
125,64.50905511811024
125,64.5259842519685
125,64.52637795275591
125.64,84.56023622047243
125.66,74.51732283464567
126,57.50354330708661
126,64.52637795275591
126,74.51496062992126
126,74.51771653543307
126,76.66850393700787
126.1,64.5259842519685
126.2,54.64488188976378
126.52,54.64488188976378
126.7,54.64488188976378
126.93,64.5259842519685
126.96,69.50314960629922
127,64.52637795275591
127.12,74.54330708661418
127.69,74.52992125984252
127.7,74.52992125984252
127.74,54.73307086614173
127.8,64.52283464566929
